"busID","busLicense","busType","busSID"
"B001","LQ-3760","coach","1"
"B002","MK-1188","mini","2"
"B003","RT-2255","coach","3"
"B004","XZ-9911","double-decker","4"
"B005","AA-5555","coach","5"
"B006","BB-6666","mini","6"
"B007","CC-7777","coach","7"
"B008","DD-8888","shuttle","8"
"B009","EE-9999","coach","9"
"B010","FF-0001","mini","10"
"B001","LQ-3760","coach","11"
"B002","MK-1188","mini","12"
"B003","RT-2255","coach","13"
"B004","XZ-9911","double-decker","14"
"B005","AA-5555","coach","15"
"B006","BB-6666","mini","16"
"B007","CC-7777","coach","17"
"B008","DD-8888","shuttle","18"
"B009","EE-9999","coach","19"
"B010","FF-0001","mini","20"
"custSID","custID","custType"
"1","C0001","regular"
"2","C0002","senior"
"3","C0003","pwd"
"4","C0004","pregnant"
"5","C0005","student"
"dateSID","dateID","year","month","day"
"269","2020-09-25","2020","September","25"
"270","2020-09-26","2020","September","26"
"271","2020-09-27","2020","September","27"
"272","2020-09-28","2020","September","28"
"273","2020-09-29","2020","September","29"
"274","2020-09-30","2020","September","30"
"275","2020-10-01","2020","October","1"
"276","2020-10-02","2020","October","2"
"277","2020-10-03","2020","October","3"
"278","2020-10-04","2020","October","4"
"279","2020-10-05","2020","October","5"
"280","2020-10-06","2020","October","6"
"281","2020-10-07","2020","October","7"
"282","2020-10-08","2020","October","8"
"283","2020-10-09","2020","October","9"
"284","2020-10-10","2020","October","10"
"285","2020-10-11","2020","October","11"
"286","2020-10-12","2020","October","12"
"287","2020-10-13","2020","October","13"
"288","2020-10-14","2020","October","14"
"289","2020-10-15","2020","October","15"
"290","2020-10-16","2020","October","16"
"291","2020-10-17","2020","October","17"
"292","2020-10-18","2020","October","18"
"293","2020-10-19","2020","October","19"
"294","2020-10-20","2020","October","20"
"295","2020-10-21","2020","October","21"
"296","2020-10-22","2020","October","22"
"297","2020-10-23","2020","October","23"
"298","2020-10-24","2020","October","24"
"299","2020-10-25","2020","October","25"
"300","2020-10-26","2020","October","26"
"301","2020-10-27","2020","October","27"
"302","2020-10-28","2020","October","28"
"303","2020-10-29","2020","October","29"
"304","2020-10-30","2020","October","30"
"305","2020-10-31","2020","October","31"
"306","2020-11-01","2020","November","1"
"307","2020-11-02","2020","November","2"
"308","2020-11-03","2020","November","3"
"309","2020-11-04","2020","November","4"
"310","2020-11-05","2020","November","5"
"311","2020-11-06","2020","November","6"
"312","2020-11-07","2020","November","7"
"313","2020-11-08","2020","November","8"
"314","2020-11-09","2020","November","9"
"315","2020-11-10","2020","November","10"
"316","2020-11-11","2020","November","11"
"317","2020-11-12","2020","November","12"
"318","2020-11-13","2020","November","13"
"319","2020-11-14","2020","November","14"
"320","2020-11-15","2020","November","15"
"321","2020-11-16","2020","November","16"
"322","2020-11-17","2020","November","17"
"323","2020-11-18","2020","November","18"
"324","2020-11-19","2020","November","19"
"325","2020-11-20","2020","November","20"
"326","2020-11-21","2020","November","21"
"327","2020-11-22","2020","November","22"
"328","2020-11-23","2020","November","23"
"329","2020-11-24","2020","November","24"
"330","2020-11-25","2020","November","25"
"331","2020-11-26","2020","November","26"
"332","2020-11-27","2020","November","27"
"333","2020-11-28","2020","November","28"
"334","2020-11-29","2020","November","29"
"335","2020-11-30","2020","November","30"
"336","2020-12-01","2020","December","1"
"337","2020-12-02","2020","December","2"
"338","2020-12-03","2020","December","3"
"339","2020-12-04","2020","December","4"
"340","2020-12-05","2020","December","5"
"341","2020-12-06","2020","December","6"
"342","2020-12-07","2020","December","7"
"343","2020-12-08","2020","December","8"
"344","2020-12-09","2020","December","9"
"345","2020-12-10","2020","December","10"
"346","2020-12-11","2020","December","11"
"347","2020-12-12","2020","December","12"
"348","2020-12-13","2020","December","13"
"349","2020-12-14","2020","December","14"
"350","2020-12-15","2020","December","15"
"351","2020-12-16","2020","December","16"
"352","2020-12-17","2020","December","17"
"353","2020-12-18","2020","December","18"
"354","2020-12-19","2020","December","19"
"355","2020-12-20","2020","December","20"
"356","2020-12-21","2020","December","21"
"357","2020-12-22","2020","December","22"
"358","2020-12-23","2020","December","23"
"359","2020-12-24","2020","December","24"
"360","2020-12-25","2020","December","25"
"361","2020-12-26","2020","December","26"
"362","2020-12-27","2020","December","27"
"363","2020-12-28","2020","December","28"
"364","2020-12-29","2020","December","29"
"365","2020-12-30","2020","December","30"
"366","2020-12-31","2020","December","31"
"367","2021-01-01","2021","January","1"
"368","2021-01-02","2021","January","2"
"369","2021-01-03","2021","January","3"
"370","2021-01-04","2021","January","4"
"371","2021-01-05","2021","January","5"
"372","2021-01-06","2021","January","6"
"373","2021-01-07","2021","January","7"
"374","2021-01-08","2021","January","8"
"375","2021-01-09","2021","January","9"
"376","2021-01-10","2021","January","10"
"377","2021-01-11","2021","January","11"
"378","2021-01-12","2021","January","12"
"379","2021-01-13","2021","January","13"
"380","2021-01-14","2021","January","14"
"381","2021-01-15","2021","January","15"
"382","2021-01-16","2021","January","16"
"383","2021-01-17","2021","January","17"
"384","2021-01-18","2021","January","18"
"385","2021-01-19","2021","January","19"
"386","2021-01-20","2021","January","20"
"387","2021-01-21","2021","January","21"
"388","2021-01-22","2021","January","22"
"389","2021-01-23","2021","January","23"
"390","2021-01-24","2021","January","24"
"391","2021-01-25","2021","January","25"
"392","2021-01-26","2021","January","26"
"393","2021-01-27","2021","January","27"
"394","2021-01-28","2021","January","28"
"395","2021-01-29","2021","January","29"
"396","2021-01-30","2021","January","30"
"397","2021-01-31","2021","January","31"
"398","2021-02-01","2021","February","1"
"399","2021-02-02","2021","February","2"
"400","2021-02-03","2021","February","3"
"401","2021-02-04","2021","February","4"
"402","2021-02-05","2021","February","5"
"403","2021-02-06","2021","February","6"
"404","2021-02-07","2021","February","7"
"405","2021-02-08","2021","February","8"
"406","2021-02-09","2021","February","9"
"407","2021-02-10","2021","February","10"
"408","2021-02-11","2021","February","11"
"409","2021-02-12","2021","February","12"
"410","2021-02-13","2021","February","13"
"411","2021-02-14","2021","February","14"
"412","2021-02-15","2021","February","15"
"413","2021-02-16","2021","February","16"
"414","2021-02-17","2021","February","17"
"415","2021-02-18","2021","February","18"
"416","2021-02-19","2021","February","19"
"417","2021-02-20","2021","February","20"
"418","2021-02-21","2021","February","21"
"419","2021-02-22","2021","February","22"
"420","2021-02-23","2021","February","23"
"421","2021-02-24","2021","February","24"
"422","2021-02-25","2021","February","25"
"423","2021-02-26","2021","February","26"
"424","2021-02-27","2021","February","27"
"425","2021-02-28","2021","February","28"
"426","2021-03-01","2021","March","1"
"427","2021-03-02","2021","March","2"
"428","2021-03-03","2021","March","3"
"429","2021-03-04","2021","March","4"
"430","2021-03-05","2021","March","5"
"431","2021-03-06","2021","March","6"
"432","2021-03-07","2021","March","7"
"433","2021-03-08","2021","March","8"
"434","2021-03-09","2021","March","9"
"435","2021-03-10","2021","March","10"
"436","2021-03-11","2021","March","11"
"437","2021-03-12","2021","March","12"
"438","2021-03-13","2021","March","13"
"439","2021-03-14","2021","March","14"
"440","2021-03-15","2021","March","15"
"441","2021-03-16","2021","March","16"
"442","2021-03-17","2021","March","17"
"443","2021-03-18","2021","March","18"
"444","2021-03-19","2021","March","19"
"445","2021-03-20","2021","March","20"
"446","2021-03-21","2021","March","21"
"447","2021-03-22","2021","March","22"
"448","2021-03-23","2021","March","23"
"449","2021-03-24","2021","March","24"
"450","2021-03-25","2021","March","25"
"451","2021-03-26","2021","March","26"
"452","2021-03-27","2021","March","27"
"453","2021-03-28","2021","March","28"
"454","2021-03-29","2021","March","29"
"455","2021-03-30","2021","March","30"
"456","2021-03-31","2021","March","31"
"457","2021-04-01","2021","April","1"
"458","2021-04-02","2021","April","2"
"459","2021-04-03","2021","April","3"
"460","2021-04-04","2021","April","4"
"461","2021-04-05","2021","April","5"
"462","2021-04-06","2021","April","6"
"463","2021-04-07","2021","April","7"
"464","2021-04-08","2021","April","8"
"465","2021-04-09","2021","April","9"
"466","2021-04-10","2021","April","10"
"467","2021-04-11","2021","April","11"
"468","2021-04-12","2021","April","12"
"469","2021-04-13","2021","April","13"
"470","2021-04-14","2021","April","14"
"471","2021-04-15","2021","April","15"
"472","2021-04-16","2021","April","16"
"473","2021-04-17","2021","April","17"
"474","2021-04-18","2021","April","18"
"475","2021-04-19","2021","April","19"
"476","2021-04-20","2021","April","20"
"477","2021-04-21","2021","April","21"
"478","2021-04-22","2021","April","22"
"479","2021-04-23","2021","April","23"
"480","2021-04-24","2021","April","24"
"481","2021-04-25","2021","April","25"
"482","2021-04-26","2021","April","26"
"483","2021-04-27","2021","April","27"
"484","2021-04-28","2021","April","28"
"485","2021-04-29","2021","April","29"
"486","2021-04-30","2021","April","30"
"487","2021-05-01","2021","May","1"
"488","2021-05-02","2021","May","2"
"489","2021-05-03","2021","May","3"
"490","2021-05-04","2021","May","4"
"491","2021-05-05","2021","May","5"
"492","2021-05-06","2021","May","6"
"493","2021-05-07","2021","May","7"
"494","2021-05-08","2021","May","8"
"495","2021-05-09","2021","May","9"
"496","2021-05-10","2021","May","10"
"497","2021-05-11","2021","May","11"
"498","2021-05-12","2021","May","12"
"499","2021-05-13","2021","May","13"
"500","2021-05-14","2021","May","14"
"501","2021-05-15","2021","May","15"
"502","2021-05-16","2021","May","16"
"503","2021-05-17","2021","May","17"
"504","2021-05-18","2021","May","18"
"505","2021-05-19","2021","May","19"
"506","2021-05-20","2021","May","20"
"507","2021-05-21","2021","May","21"
"508","2021-05-22","2021","May","22"
"509","2021-05-23","2021","May","23"
"510","2021-05-24","2021","May","24"
"511","2021-05-25","2021","May","25"
"512","2021-05-26","2021","May","26"
"513","2021-05-27","2021","May","27"
"514","2021-05-28","2021","May","28"
"515","2021-05-29","2021","May","29"
"516","2021-05-30","2021","May","30"
"517","2021-05-31","2021","May","31"
"518","2021-06-01","2021","June","1"
"519","2021-06-02","2021","June","2"
"520","2021-06-03","2021","June","3"
"521","2021-06-04","2021","June","4"
"522","2021-06-05","2021","June","5"
"523","2021-06-06","2021","June","6"
"524","2021-06-07","2021","June","7"
"525","2021-06-08","2021","June","8"
"526","2021-06-09","2021","June","9"
"527","2021-06-10","2021","June","10"
"528","2021-06-11","2021","June","11"
"529","2021-06-12","2021","June","12"
"530","2021-06-13","2021","June","13"
"531","2021-06-14","2021","June","14"
"532","2021-06-15","2021","June","15"
"533","2021-06-16","2021","June","16"
"534","2021-06-17","2021","June","17"
"535","2021-06-18","2021","June","18"
"536","2021-06-19","2021","June","19"
"537","2021-06-20","2021","June","20"
"538","2021-06-21","2021","June","21"
"539","2021-06-22","2021","June","22"
"540","2021-06-23","2021","June","23"
"541","2021-06-24","2021","June","24"
"542","2021-06-25","2021","June","25"
"543","2021-06-26","2021","June","26"
"544","2021-06-27","2021","June","27"
"545","2021-06-28","2021","June","28"
"546","2021-06-29","2021","June","29"
"547","2021-06-30","2021","June","30"
"548","2021-07-01","2021","July","1"
"549","2021-07-02","2021","July","2"
"550","2021-07-03","2021","July","3"
"551","2021-07-04","2021","July","4"
"552","2021-07-05","2021","July","5"
"553","2021-07-06","2021","July","6"
"554","2021-07-07","2021","July","7"
"555","2021-07-08","2021","July","8"
"556","2021-07-09","2021","July","9"
"557","2021-07-10","2021","July","10"
"558","2021-07-11","2021","July","11"
"559","2021-07-12","2021","July","12"
"560","2021-07-13","2021","July","13"
"561","2021-07-14","2021","July","14"
"562","2021-07-15","2021","July","15"
"563","2021-07-16","2021","July","16"
"564","2021-07-17","2021","July","17"
"565","2021-07-18","2021","July","18"
"566","2021-07-19","2021","July","19"
"567","2021-07-20","2021","July","20"
"568","2021-07-21","2021","July","21"
"569","2021-07-22","2021","July","22"
"570","2021-07-23","2021","July","23"
"571","2021-07-24","2021","July","24"
"572","2021-07-25","2021","July","25"
"573","2021-07-26","2021","July","26"
"574","2021-07-27","2021","July","27"
"575","2021-07-28","2021","July","28"
"576","2021-07-29","2021","July","29"
"577","2021-07-30","2021","July","30"
"578","2021-07-31","2021","July","31"
"579","2021-08-01","2021","August","1"
"580","2021-08-02","2021","August","2"
"581","2021-08-03","2021","August","3"
"582","2021-08-04","2021","August","4"
"583","2021-08-05","2021","August","5"
"584","2021-08-06","2021","August","6"
"585","2021-08-07","2021","August","7"
"586","2021-08-08","2021","August","8"
"587","2021-08-09","2021","August","9"
"588","2021-08-10","2021","August","10"
"589","2021-08-11","2021","August","11"
"590","2021-08-12","2021","August","12"
"591","2021-08-13","2021","August","13"
"592","2021-08-14","2021","August","14"
"593","2021-08-15","2021","August","15"
"594","2021-08-16","2021","August","16"
"595","2021-08-17","2021","August","17"
"596","2021-08-18","2021","August","18"
"597","2021-08-19","2021","August","19"
"598","2021-08-20","2021","August","20"
"599","2021-08-21","2021","August","21"
"600","2021-08-22","2021","August","22"
"601","2021-08-23","2021","August","23"
"602","2021-08-24","2021","August","24"
"603","2021-08-25","2021","August","25"
"604","2021-08-26","2021","August","26"
"605","2021-08-27","2021","August","27"
"606","2021-08-28","2021","August","28"
"607","2021-08-29","2021","August","29"
"608","2021-08-30","2021","August","30"
"609","2021-08-31","2021","August","31"
"610","2021-09-01","2021","September","1"
"611","2021-09-02","2021","September","2"
"612","2021-09-03","2021","September","3"
"613","2021-09-04","2021","September","4"
"614","2021-09-05","2021","September","5"
"615","2021-09-06","2021","September","6"
"616","2021-09-07","2021","September","7"
"617","2021-09-08","2021","September","8"
"618","2021-09-09","2021","September","9"
"619","2021-09-10","2021","September","10"
"620","2021-09-11","2021","September","11"
"621","2021-09-12","2021","September","12"
"622","2021-09-13","2021","September","13"
"623","2021-09-14","2021","September","14"
"624","2021-09-15","2021","September","15"
"625","2021-09-16","2021","September","16"
"626","2021-09-17","2021","September","17"
"627","2021-09-18","2021","September","18"
"628","2021-09-19","2021","September","19"
"629","2021-09-20","2021","September","20"
"630","2021-09-21","2021","September","21"
"631","2021-09-22","2021","September","22"
"632","2021-09-23","2021","September","23"
"633","2021-09-24","2021","September","24"
"634","2021-09-25","2021","September","25"
"635","2021-09-26","2021","September","26"
"636","2021-09-27","2021","September","27"
"637","2021-09-28","2021","September","28"
"638","2021-09-29","2021","September","29"
"639","2021-09-30","2021","September","30"
"640","2021-10-01","2021","October","1"
"641","2021-10-02","2021","October","2"
"642","2021-10-03","2021","October","3"
"643","2021-10-04","2021","October","4"
"644","2021-10-05","2021","October","5"
"645","2021-10-06","2021","October","6"
"646","2021-10-07","2021","October","7"
"647","2021-10-08","2021","October","8"
"648","2021-10-09","2021","October","9"
"649","2021-10-10","2021","October","10"
"650","2021-10-11","2021","October","11"
"651","2021-10-12","2021","October","12"
"652","2021-10-13","2021","October","13"
"653","2021-10-14","2021","October","14"
"654","2021-10-15","2021","October","15"
"655","2021-10-16","2021","October","16"
"656","2021-10-17","2021","October","17"
"657","2021-10-18","2021","October","18"
"658","2021-10-19","2021","October","19"
"659","2021-10-20","2021","October","20"
"660","2021-10-21","2021","October","21"
"661","2021-10-22","2021","October","22"
"662","2021-10-23","2021","October","23"
"663","2021-10-24","2021","October","24"
"664","2021-10-25","2021","October","25"
"665","2021-10-26","2021","October","26"
"666","2021-10-27","2021","October","27"
"667","2021-10-28","2021","October","28"
"668","2021-10-29","2021","October","29"
"669","2021-10-30","2021","October","30"
"670","2021-10-31","2021","October","31"
"671","2021-11-01","2021","November","1"
"672","2021-11-02","2021","November","2"
"673","2021-11-03","2021","November","3"
"674","2021-11-04","2021","November","4"
"675","2021-11-05","2021","November","5"
"676","2021-11-06","2021","November","6"
"677","2021-11-07","2021","November","7"
"678","2021-11-08","2021","November","8"
"679","2021-11-09","2021","November","9"
"680","2021-11-10","2021","November","10"
"681","2021-11-11","2021","November","11"
"682","2021-11-12","2021","November","12"
"683","2021-11-13","2021","November","13"
"684","2021-11-14","2021","November","14"
"685","2021-11-15","2021","November","15"
"686","2021-11-16","2021","November","16"
"687","2021-11-17","2021","November","17"
"688","2021-11-18","2021","November","18"
"689","2021-11-19","2021","November","19"
"690","2021-11-20","2021","November","20"
"691","2021-11-21","2021","November","21"
"692","2021-11-22","2021","November","22"
"693","2021-11-23","2021","November","23"
"694","2021-11-24","2021","November","24"
"695","2021-11-25","2021","November","25"
"696","2021-11-26","2021","November","26"
"697","2021-11-27","2021","November","27"
"698","2021-11-28","2021","November","28"
"699","2021-11-29","2021","November","29"
"700","2021-11-30","2021","November","30"
"701","2021-12-01","2021","December","1"
"702","2021-12-02","2021","December","2"
"703","2021-12-03","2021","December","3"
"704","2021-12-04","2021","December","4"
"705","2021-12-05","2021","December","5"
"706","2021-12-06","2021","December","6"
"707","2021-12-07","2021","December","7"
"708","2021-12-08","2021","December","8"
"709","2021-12-09","2021","December","9"
"710","2021-12-10","2021","December","10"
"711","2021-12-11","2021","December","11"
"712","2021-12-12","2021","December","12"
"713","2021-12-13","2021","December","13"
"714","2021-12-14","2021","December","14"
"715","2021-12-15","2021","December","15"
"716","2021-12-16","2021","December","16"
"717","2021-12-17","2021","December","17"
"718","2021-12-18","2021","December","18"
"719","2021-12-19","2021","December","19"
"720","2021-12-20","2021","December","20"
"721","2021-12-21","2021","December","21"
"722","2021-12-22","2021","December","22"
"723","2021-12-23","2021","December","23"
"724","2021-12-24","2021","December","24"
"725","2021-12-25","2021","December","25"
"726","2021-12-26","2021","December","26"
"727","2021-12-27","2021","December","27"
"728","2021-12-28","2021","December","28"
"729","2021-12-29","2021","December","29"
